strategy_name,n_ants,n_iters,n_nodes,n_edges,time_ACO,time_BF,speedup,tested_path_ACO,tested_path_BF,cost_ACO,random_graph,fully_connected,iterations
Basic ACO,4,4,8,80,0.001 ± 0.000,0.018 ± 0.003,14.964 ± 3.476,16,5040.000 ± 0.000,16.000 ± 0.000,False,True,10
Basic ACO,4,4,10,50,0.001 ± 0.000,1.067 ± 0.070,784.303 ± 43.988,16,362880.000 ± 0.000,14.000 ± 0.000,False,True,10
Basic ACO,8,8,12,70,0.008 ± 0.003,129.327 ± 4.328,16986.542 ± 4286.009,64,39916800.000 ± 0.000,22.000 ± 0.000,False,True,10
Basic ACO,8,8,13,70,0.007 ± nan,1611.396 ± nan,221103.301 ± nan,64,479001600.000 ± nan,17.000 ± nan,False,True,1
EAS,4,4,8,80,0.001 ± 0.000,0.015 ± 0.001,13.571 ± 2.796,16,5040.000 ± 0.000,16.000 ± 0.000,False,True,10
EAS,4,4,10,50,0.001 ± 0.000,1.110 ± 0.037,770.471 ± 68.213,16,362880.000 ± 0.000,16.000 ± 0.000,False,True,10
EAS,8,8,12,70,0.007 ± 0.000,130.625 ± 3.310,19489.217 ± 975.461,64,39916800.000 ± 0.000,20.000 ± 0.000,False,True,10
EAS,8,8,13,70,0.012 ± 0.004,1863.424 ± 384.382,168063.856 ± 48335.711,64,479001600.000 ± 0.000,20.000 ± 0.000,False,True,4
Rank,4,4,8,80,0.001 ± 0.000,0.015 ± 0.001,13.513 ± 2.583,16,5040.000 ± 0.000,16.000 ± 0.000,False,True,10
Rank,4,4,10,50,0.001 ± 0.000,1.146 ± 0.063,780.274 ± 87.685,16,362880.000 ± 0.000,14.000 ± 0.000,False,True,10
Rank,8,8,12,70,0.006 ± 0.000,122.244 ± 7.104,19004.558 ± 982.464,64,39916800.000 ± 0.000,19.000 ± 0.000,False,True,10
Rank,8,8,13,70,0.008 ± 0.001,1409.637 ± 5.310,184484.577 ± 15112.683,64,479001600.000 ± 0.000,19.000 ± 0.000,False,True,4
MMAS,4,4,8,80,0.001 ± 0.000,0.014 ± 0.000,13.525 ± 2.680,16,5040.000 ± 0.000,16.000 ± 0.000,False,True,10
MMAS,4,4,10,50,0.001 ± 0.000,1.007 ± 0.005,771.313 ± 7.987,16,362880.000 ± 0.000,14.000 ± 0.000,False,True,10
MMAS,8,8,12,70,0.006 ± 0.000,115.448 ± 0.655,18598.763 ± 120.913,64,39916800.000 ± 0.000,24.000 ± 0.000,False,True,10
MMAS,8,8,13,70,0.007 ± 0.000,1409.645 ± 6.288,195368.200 ± 3568.617,64,479001600.000 ± 0.000,19.000 ± 0.000,False,True,4
BWAS,4,4,8,80,0.001 ± 0.000,0.014 ± 0.000,14.368 ± 0.641,16,5040.000 ± 0.000,16.000 ± 0.000,False,True,10
BWAS,4,4,10,50,0.001 ± 0.000,1.006 ± 0.005,750.973 ± 8.192,16,362880.000 ± 0.000,16.000 ± 0.000,False,True,10
BWAS,8,8,12,70,0.006 ± 0.000,114.711 ± 0.520,18341.256 ± 158.274,64,39916800.000 ± 0.000,24.000 ± 0.000,False,True,10
BWAS,8,8,13,70,0.008 ± 0.002,1410.490 ± 9.928,177370.930 ± 32577.605,64,479001600.000 ± 0.000,19.000 ± 0.000,False,True,4
Basic ACO,8,8,13,70,0.011 ± 0.002,1451.751 ± 35.566,132649.685 ± 23636.579,64,479001600.000 ± 0.000,17.000 ± 0.000,False,True,4

Basic ACO,8,100,8,80,0.044 ± 0.004,0.015 ± 0.001,0.343 ± 0.048,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.048 ± 0.011,0.016 ± 0.003,0.333 ± 0.087,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.044 ± 0.003,0.014 ± 0.001,0.329 ± 0.015,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.048 ± 0.013,0.014 ± 0.001,0.317 ± 0.056,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.048 ± 0.008,0.014 ± 0.001,0.309 ± 0.043,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.046 ± 0.005,0.014 ± 0.001,0.313 ± 0.020,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.050 ± 0.019,0.015 ± 0.002,0.323 ± 0.080,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.047 ± 0.010,0.015 ± 0.002,0.330 ± 0.055,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.045 ± 0.006,0.017 ± 0.007,0.372 ± 0.139,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.047 ± 0.016,0.018 ± 0.011,0.395 ± 0.228,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.042 ± 0.003,0.014 ± 0.000,0.328 ± 0.017,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.048 ± 0.008,0.017 ± 0.005,0.359 ± 0.130,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.048 ± 0.008,0.015 ± 0.002,0.306 ± 0.021,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.047 ± 0.005,0.018 ± 0.005,0.379 ± 0.118,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.042 ± 0.002,0.018 ± 0.013,0.437 ± 0.317,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.040 ± 0.000,0.014 ± 0.000,0.341 ± 0.005,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Basic ACO,8,100,8,80,0.053 ± 0.022,0.014 ± 0.001,0.291 ± 0.067,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
EAS,8,100,8,80,0.042 ± 0.000,0.014 ± 0.000,0.338 ± 0.010,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
Rank,8,100,8,80,0.052 ± 0.019,0.018 ± 0.006,0.371 ± 0.140,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
MMAS,8,100,8,80,0.041 ± 0.002,0.014 ± 0.000,0.335 ± 0.018,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
BWAS,8,100,8,80,0.048 ± 0.019,0.014 ± 0.001,0.318 ± 0.058,800,5040.000 ± 0.000,15.000 ± 0.000,,False,True,10
